id,geoJSON
113,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.614732797556701, 51.95297091145445], [7.614904218301437, 51.95764438801399], [7.615889514360369, 51.95825228088557], [7.616914063743773, 51.957146555503506], [7.615630640728052, 51.95365510378601], [7.614732797556701, 51.95297091145445]]]]}"
138,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.615073490696894, 51.96244703176578], [7.617236442283564, 51.96267538431027], [7.618187127510756, 51.96228610037618], [7.619090506854476, 51.9614575671668], [7.619115517027644, 51.961327329299216], [7.618947399801081, 51.960763076210704], [7.618665550545067, 51.96056564070194], [7.617046641135716, 51.95992018083431], [7.61668951132883, 51.95996634219302], [7.616016091678331, 51.96033826063662], [7.615084805357911, 51.96182295971325], [7.614933683742728, 51.96215241404019], [7.615073490696894, 51.96244703176578]]]]}"
121,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.612472830767803, 51.967140697660426], [7.61592591329759, 51.96773906079492], [7.616441307243042, 51.96737129612093], [7.61609184390903, 51.96522629925881], [7.615148659905196, 51.96491693869019], [7.613104767888516, 51.966289683686966], [7.612472830767803, 51.967140697660426]]]]}"
81,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.615148659905196, 51.96491693869019], [7.61609184390903, 51.96522629925881], [7.617088088205845, 51.9651726474737], [7.617421967287708, 51.96503896815719], [7.617236442283564, 51.96267538431027], [7.615073490696894, 51.96244703176578], [7.615148659905196, 51.96491693869019]]]]}"
118,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.615889514360369, 51.95825228088557], [7.614904218301437, 51.95764438801399], [7.614102982632026, 51.95882454995364], [7.616016091678331, 51.96033826063662], [7.61668951132883, 51.95996634219302], [7.615889514360369, 51.95825228088557]]]]}"
97,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.61668951132883, 51.95996634219302], [7.617046641135716, 51.95992018083431], [7.617586266508461, 51.95786476129022], [7.616914063743773, 51.957146555503506], [7.615889514360369, 51.95825228088557], [7.61668951132883, 51.95996634219302]]]]}"
56,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.616040946730369, 51.96891922603572], [7.616400943822647, 51.96915223951976], [7.617226124971097, 51.96774641120318], [7.616441307243042, 51.96737129612093], [7.61592591329759, 51.96773906079492], [7.616040946730369, 51.96891922603572]]]]}"
57,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.620265619613517, 51.96949315434142], [7.620774882008081, 51.968850546034275], [7.621529367023884, 51.967509925809324], [7.621437193712999, 51.967021200918644], [7.620237901393314, 51.96635671334794], [7.619649011428555, 51.9663680381633], [7.619020834344952, 51.96814710783786], [7.619596961049862, 51.969889244692354], [7.620265619613517, 51.96949315434142]]]]}"
55,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.61867330485648, 51.973154100502775], [7.619596961049862, 51.969889244692354], [7.619020834344952, 51.96814710783786], [7.617902146591039, 51.96767987238932], [7.617226124971097, 51.96774641120318], [7.616400943822647, 51.96915223951976], [7.61867330485648, 51.973154100502775]]]]}"
28,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.616914063743773, 51.957146555503506], [7.617586266508461, 51.95786476129022], [7.6189162897763, 51.957477869614834], [7.619680916672677, 51.956859189815965], [7.619820194388867, 51.95540125436034], [7.615630640728052, 51.95365510378601], [7.616914063743773, 51.957146555503506]]]]}"
83,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.61609184390903, 51.96522629925881], [7.616441307243042, 51.96737129612093], [7.617226124971097, 51.96774641120318], [7.617902146591039, 51.96767987238932], [7.617088088205845, 51.9651726474737], [7.61609184390903, 51.96522629925881]]]]}"
112,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.617046641135716, 51.95992018083431], [7.618665550545067, 51.96056564070194], [7.6189162897763, 51.957477869614834], [7.617586266508461, 51.95786476129022], [7.617046641135716, 51.95992018083431]]]]}"
106,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.617088088205845, 51.9651726474737], [7.617902146591039, 51.96767987238932], [7.619020834344952, 51.96814710783786], [7.619649011428555, 51.9663680381633], [7.61900041268847, 51.965093185852744], [7.618063658891894, 51.96495735436352], [7.617421967287708, 51.96503896815719], [7.617088088205845, 51.9651726474737]]]]}"
109,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.617421967287708, 51.96503896815719], [7.618063658891894, 51.96495735436352], [7.618187127510756, 51.96228610037618], [7.617236442283564, 51.96267538431027], [7.617421967287708, 51.96503896815719]]]]}"
103,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.619649011428555, 51.9663680381633], [7.620237901393314, 51.96635671334794], [7.621088167642612, 51.96569518742391], [7.62118683283521, 51.96459775466684], [7.621040392168919, 51.96447862264115], [7.620380783595561, 51.964327297999056], [7.619373351874217, 51.96464352660335], [7.61900041268847, 51.965093185852744], [7.619649011428555, 51.9663680381633]]]]}"
105,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.618187127510756, 51.96228610037618], [7.618063658891894, 51.96495735436352], [7.61900041268847, 51.965093185852744], [7.619373351874217, 51.96464352660335], [7.619303855002965, 51.96199563386938], [7.619090506854476, 51.9614575671668], [7.618187127510756, 51.96228610037618]]]]}"
134,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.619680916672677, 51.956859189815965], [7.621003846227087, 51.958883289338075], [7.622156708601288, 51.95900223400926], [7.624093798394557, 51.95607888844315], [7.62407984794708, 51.95524345971005], [7.623669446917114, 51.95361317262838], [7.619820194388867, 51.95540125436034], [7.619680916672677, 51.956859189815965]]]]}"
111,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.6189162897763, 51.957477869614834], [7.618665550545067, 51.96056564070194], [7.618947399801081, 51.960763076210704], [7.621003846227087, 51.958883289338075], [7.619680916672677, 51.956859189815965], [7.6189162897763, 51.957477869614834]]]]}"
16,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.619373351874217, 51.96464352660335], [7.620380783595561, 51.964327297999056], [7.620692394149494, 51.96314907967218], [7.619303855002965, 51.96199563386938], [7.619373351874217, 51.96464352660335]]]]}"
137,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.619115517027644, 51.961327329299216], [7.620747199435591, 51.96154688305234], [7.621483552372974, 51.96119769567983], [7.622127526688459, 51.96081816261955], [7.622443842528122, 51.96043839528071], [7.622424822129999, 51.959481944157474], [7.622156708601288, 51.95900223400926], [7.621003846227087, 51.958883289338075], [7.618947399801081, 51.960763076210704], [7.619115517027644, 51.961327329299216]]]]}"
108,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.619303855002965, 51.96199563386938], [7.620692394149494, 51.96314907967218], [7.621836991500167, 51.96293285497346], [7.621849919914925, 51.96292519717787], [7.620747199435591, 51.96154688305234], [7.619115517027644, 51.961327329299216], [7.619090506854476, 51.9614575671668], [7.619303855002965, 51.96199563386938]]]]}"
17,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.621040392168919, 51.96447862264115], [7.621836991500167, 51.96293285497346], [7.620692394149494, 51.96314907967218], [7.620380783595561, 51.964327297999056], [7.621040392168919, 51.96447862264115]]]]}"
122,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.621529367023884, 51.967509925809324], [7.622447113027633, 51.9677692337201], [7.622898284680244, 51.96733452160381], [7.622626582322281, 51.96667775392759], [7.622334965226104, 51.966346134756655], [7.622244692030568, 51.96636767840314], [7.621437193712999, 51.967021200918644], [7.621529367023884, 51.967509925809324]]]]}"
60,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.62118683283521, 51.96459775466684], [7.621566035302901, 51.96463903518728], [7.621938572593127, 51.964504897243295], [7.622222510932151, 51.96292951916792], [7.622209668352167, 51.96292476963301], [7.621849919914925, 51.96292519717787], [7.621836991500167, 51.96293285497346], [7.621040392168919, 51.96447862264115], [7.62118683283521, 51.96459775466684]]]]}"
120,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.620237901393314, 51.96635671334794], [7.621437193712999, 51.967021200918644], [7.622244692030568, 51.96636767840314], [7.621609967346774, 51.965871128055454], [7.621240185047957, 51.96571420136311], [7.621088167642612, 51.96569518742391], [7.620237901393314, 51.96635671334794]]]]}"
110,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.621849919914925, 51.96292519717787], [7.622209668352167, 51.96292476963301], [7.622206736600258, 51.96289319585871], [7.621483552372974, 51.96119769567983], [7.620747199435591, 51.96154688305234], [7.621849919914925, 51.96292519717787]]]]}"
38,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.622244692030568, 51.96636767840314], [7.622334965226104, 51.966346134756655], [7.622571934365647, 51.965927819812975], [7.622555426339932, 51.96587754858283], [7.622103249983827, 51.965386732099546], [7.621969162227804, 51.96533998033348], [7.621609967346774, 51.965871128055454], [7.622244692030568, 51.96636767840314]]]]}"
18,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.621088167642612, 51.96569518742391], [7.621240185047957, 51.96571420136311], [7.621858994233372, 51.96525759313601], [7.621566035302901, 51.96463903518728], [7.62118683283521, 51.96459775466684], [7.621088167642612, 51.96569518742391]]]]}"
135,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.622424822129999, 51.959481944157474], [7.62314609558515, 51.95961193776847], [7.62406134338473, 51.959648478931314], [7.625097553698651, 51.958154381931614], [7.625134776089202, 51.95808320921756], [7.624739459905174, 51.957030259195335], [7.624093798394557, 51.95607888844315], [7.622156708601288, 51.95900223400926], [7.622424822129999, 51.959481944157474]]]]}"
41,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.621969162227804, 51.96533998033348], [7.622103249983827, 51.965386732099546], [7.622448766997423, 51.96464276020247], [7.621938572593127, 51.964504897243295], [7.621566035302901, 51.96463903518728], [7.621858994233372, 51.96525759313601], [7.621969162227804, 51.96533998033348]]]]}"
104,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.621858994233372, 51.96525759313601], [7.621240185047957, 51.96571420136311], [7.621609967346774, 51.965871128055454], [7.621969162227804, 51.96533998033348], [7.621858994233372, 51.96525759313601]]]]}"
119,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.622127526688459, 51.96081816261955], [7.622206736600258, 51.96289319585871], [7.622209668352167, 51.96292476963301], [7.622222510932151, 51.96292951916792], [7.623016618758317, 51.96298948711295], [7.623134660809487, 51.96225516117549], [7.622489024372873, 51.96048517979934], [7.622443842528122, 51.96043839528071], [7.622127526688459, 51.96081816261955]]]]}"
86,"{""type"": ""MultiPolygon"", ""coordinates"": [[[[7.621483552372974, 51.96119769567983], [7.622206736600258, 51.96289319585871], [7.622127526688459, 51.96081816261955], [7.621483552372974, 51.96119769567983]]]]}"
